"Nation ID","Nation","State ID","State","Municipality ID","Municipality","Population"
"mex","México",26,"Sonora",26001,"Aconchi",2563
"mex","México",26,"Sonora",26002,"Agua Prieta",91929
"mex","México",26,"Sonora",26003,"Álamos",24976
"mex","México",26,"Sonora",26004,"Altar",9492
"mex","México",26,"Sonora",26005,"Arivechi",1177
"mex","México",26,"Sonora",26006,"Arizpe",2788
"mex","México",26,"Sonora",26007,"Atil",626
"mex","México",26,"Sonora",26008,"Bacadéhuachi",979
"mex","México",26,"Sonora",26009,"Bacanora",759
"mex","México",26,"Sonora",26010,"Bacerac",1221
"mex","México",26,"Sonora",26011,"Bacoachi",1475
"mex","México",26,"Sonora",26012,"Bácum",23151
"mex","México",26,"Sonora",26013,"Banámichi",1825
"mex","México",26,"Sonora",26014,"Baviácora",3191
"mex","México",26,"Sonora",26015,"Bavispe",1169
"mex","México",26,"Sonora",26016,"Benjamín Hill",4988
"mex","México",26,"Sonora",26017,"Caborca",89122
"mex","México",26,"Sonora",26018,"Cajeme",436484
"mex","México",26,"Sonora",26019,"Cananea",39451
"mex","México",26,"Sonora",26020,"Carbó",4946
"mex","México",26,"Sonora",26021,"La Colorada",1848
"mex","México",26,"Sonora",26022,"Cucurpe",863
"mex","México",26,"Sonora",26023,"Cumpas",5829
"mex","México",26,"Sonora",26024,"Divisaderos",753
"mex","México",26,"Sonora",26025,"Empalme",51431
"mex","México",26,"Sonora",26026,"Etchojoa",61309
"mex","México",26,"Sonora",26027,"Fronteras",9041
"mex","México",26,"Sonora",26028,"Granados",1009
"mex","México",26,"Sonora",26029,"Guaymas",156863
"mex","México",26,"Sonora",26030,"Hermosillo",936263
"mex","México",26,"Sonora",26031,"Huachinera",1186
"mex","México",26,"Sonora",26032,"Huásabas",888
"mex","México",26,"Sonora",26033,"Huatabampo",77682
"mex","México",26,"Sonora",26034,"Huépac",943
"mex","México",26,"Sonora",26035,"Imuris",12536
"mex","México",26,"Sonora",26036,"Magdalena",33049
"mex","México",26,"Sonora",26037,"Mazatán",1101
"mex","México",26,"Sonora",26038,"Moctezuma",5173
"mex","México",26,"Sonora",26039,"Naco",5774
"mex","México",26,"Sonora",26040,"Nácori Chico",1531
"mex","México",26,"Sonora",26041,"Nacozari de García",14369
"mex","México",26,"Sonora",26042,"Navojoa",164387
"mex","México",26,"Sonora",26043,"Nogales",264782
"mex","México",26,"Sonora",26044,"Ónavas",365
"mex","México",26,"Sonora",26045,"Opodepe",2438
"mex","México",26,"Sonora",26046,"Oquitoa",496
"mex","México",26,"Sonora",26047,"Pitiquito",9122
"mex","México",26,"Sonora",26048,"Puerto Peñasco",62689
"mex","México",26,"Sonora",26049,"Quiriego",3090
"mex","México",26,"Sonora",26050,"Rayón",1496
"mex","México",26,"Sonora",26051,"Rosario",4830
"mex","México",26,"Sonora",26052,"Sahuaripa",5257
"mex","México",26,"Sonora",26053,"San Felipe de Jesús",369
"mex","México",26,"Sonora",26054,"San Javier",537
"mex","México",26,"Sonora",26055,"San Luis Río Colorado",199021
"mex","México",26,"Sonora",26056,"San Miguel de Horcasitas",10729
"mex","México",26,"Sonora",26057,"San Pedro de la Cueva",1458
"mex","México",26,"Sonora",26058,"Santa Ana",16203
"mex","México",26,"Sonora",26059,"Santa Cruz",1835
"mex","México",26,"Sonora",26060,"Sáric",2058
"mex","México",26,"Sonora",26061,"Soyopa",1368
"mex","México",26,"Sonora",26062,"Suaqui Grande",1114
"mex","México",26,"Sonora",26063,"Tepache",1178
"mex","México",26,"Sonora",26064,"Trincheras",1381
"mex","México",26,"Sonora",26065,"Tubutama",1473
"mex","México",26,"Sonora",26066,"Ures",8548
"mex","México",26,"Sonora",26067,"Villa Hidalgo",1429
"mex","México",26,"Sonora",26068,"Villa Pesqueira",1043
"mex","México",26,"Sonora",26069,"Yécora",4793
"mex","México",26,"Sonora",26070,"General Plutarco Elías Calles",13627
"mex","México",26,"Sonora",26071,"Benito Juárez",21692
"mex","México",26,"Sonora",26072,"San Ignacio Río Muerto",14279