_id,clave_entidad,entidad_federativa,clave_municipio,municipio,grupo,poblacion,pobreza_porcentaje,carencia_rezago_educativo_porcentaje,carencia_servicios_de_salud_porcentaje,carencia_seguridad_social_porcentaje,carencia_calidad_espacios_vivienda_porcentaje,carencia_servicios_basicos_vivienda_porcentaje,carencia_alimentacion_nutritiva_calidad_porcentaje,ingreso_inferior_a_lpi_porcentaje,periodo,entidad,entidad_federativa_etq
1902,26,Sonora,26001,Aconchi,Población por sexo: mujeres,1309,-999.0,12.417219,-999.0,53.559603,-999.0,-999.0,13.824503,-999.0,2020-01-01,Sonora,Sonora
1903,26,Sonora,26002,Agua Prieta,Población por sexo: mujeres,49425,32.81984,11.817894,26.918782,41.515539,6.367151,2.832779,22.226869,43.059625,2020-01-01,Sonora,Sonora
1904,26,Sonora,26003,Álamos,Población por sexo: mujeres,12813,51.184635,25.560543,12.83271,62.325914,25.811811,48.530237,37.882663,54.583033,2020-01-01,Sonora,Sonora
1905,26,Sonora,26004,Altar,Población por sexo: mujeres,5084,46.996349,20.360825,22.05756,70.747423,-999.0,4.2311,21.670962,52.647552,2020-01-01,Sonora,Sonora
1906,26,Sonora,26005,Arivechi,Población por sexo: mujeres,626,29.667254,22.711268,-999.0,55.28169,-999.0,-999.0,12.147887,-999.0,2020-01-01,Sonora,Sonora
1907,26,Sonora,26006,Arizpe,Población por sexo: mujeres,1429,-999.0,18.611747,20.594966,63.157895,6.559878,-999.0,8.77193,-999.0,2020-01-01,Sonora,Sonora
1908,26,Sonora,26007,Atil,Población por sexo: mujeres,336,-999.0,10.897436,21.153846,67.307692,-999.0,-999.0,-999.0,-999.0,2020-01-01,Sonora,Sonora
1909,26,Sonora,26008,Bacadéhuachi,Población por sexo: mujeres,491,50.914661,23.851204,16.19256,67.177243,-999.0,-999.0,15.098468,56.584245,2020-01-01,Sonora,Sonora
1910,26,Sonora,26009,Bacanora,Población por sexo: mujeres,388,29.095506,26.123596,17.977528,60.674157,4.213483,-999.0,-999.0,32.272472,2020-01-01,Sonora,Sonora
1911,26,Sonora,26010,Bacerac,Población por sexo: mujeres,662,42.761438,18.627451,24.673203,75.980392,-999.0,-999.0,14.542484,45.79902,2020-01-01,Sonora,Sonora
1912,26,Sonora,26011,Bacoachi,Población por sexo: mujeres,777,41.914566,17.507003,11.904762,65.12605,-999.0,-999.0,5.182073,49.820728,2020-01-01,Sonora,Sonora
1913,26,Sonora,26012,Bácum,Población por sexo: mujeres,12507,40.935519,17.563238,15.715757,45.04151,12.847934,21.419207,31.962074,49.622441,2020-01-01,Sonora,Sonora
1914,26,Sonora,26013,Banámichi,Población por sexo: mujeres,950,-999.0,13.921114,7.772622,46.055684,-999.0,-999.0,-999.0,-999.0,2020-01-01,Sonora,Sonora
1915,26,Sonora,26014,Baviácora,Población por sexo: mujeres,1632,-999.0,15.968064,11.177645,58.882236,3.526281,-999.0,11.111111,-999.0,2020-01-01,Sonora,Sonora
1916,26,Sonora,26015,Bavispe,Población por sexo: mujeres,586,58.118738,15.584416,51.391466,80.333952,-999.0,-999.0,5.380334,61.300557,2020-01-01,Sonora,Sonora
1917,26,Sonora,26016,Benjamín Hill,Población por sexo: mujeres,2669,31.28664,15.465587,4.331984,37.692308,6.315789,-999.0,16.518219,45.967206,2020-01-01,Sonora,Sonora
1918,26,Sonora,26017,Caborca,Población por sexo: mujeres,47424,31.549746,17.039484,24.022052,45.558141,6.945941,-999.0,16.832205,40.629294,2020-01-01,Sonora,Sonora
1919,26,Sonora,26018,Cajeme,Población por sexo: mujeres,231076,28.750738,9.416379,13.228222,26.55987,4.164631,2.475863,23.513752,44.427879,2020-01-01,Sonora,Sonora
1920,26,Sonora,26019,Cananea,Población por sexo: mujeres,18976,29.234544,8.802657,7.994151,34.700557,4.073462,-999.0,16.123703,44.245563,2020-01-01,Sonora,Sonora
1921,26,Sonora,26020,Carbó,Población por sexo: mujeres,2496,47.252714,20.277898,16.456795,64.958749,10.377768,-999.0,13.026487,56.065567,2020-01-01,Sonora,Sonora
1922,26,Sonora,26021,La Colorada,Población por sexo: mujeres,881,21.630711,21.954315,12.817259,42.258883,9.898477,-999.0,-999.0,28.917513,2020-01-01,Sonora,Sonora
1923,26,Sonora,26022,Cucurpe,Población por sexo: mujeres,421,35.513089,22.251309,-999.0,60.732984,-999.0,-999.0,-999.0,43.253927,2020-01-01,Sonora,Sonora
1924,26,Sonora,26023,Cumpas,Población por sexo: mujeres,3110,18.509684,10.25825,-999.0,37.374462,-999.0,-999.0,8.249641,28.576399,2020-01-01,Sonora,Sonora
1925,26,Sonora,26024,Divisaderos,Población por sexo: mujeres,380,33.21875,15.909091,-999.0,62.215909,-999.0,-999.0,11.931818,39.085227,2020-01-01,Sonora,Sonora
1926,26,Sonora,26025,Empalme,Población por sexo: mujeres,27974,35.567635,13.66685,16.413414,30.446358,8.718443,10.627212,32.095533,48.924409,2020-01-01,Sonora,Sonora
1927,26,Sonora,26026,Etchojoa,Población por sexo: mujeres,35280,57.486405,12.164187,12.02097,52.442232,24.930959,54.685,47.298319,62.53729,2020-01-01,Sonora,Sonora
1928,26,Sonora,26027,Fronteras,Población por sexo: mujeres,4834,26.702461,11.879195,14.317673,38.836689,6.532438,-999.0,13.10962,43.24094,2020-01-01,Sonora,Sonora
1929,26,Sonora,26028,Granados,Población por sexo: mujeres,516,-999.0,13.062099,12.633833,59.957173,-999.0,-888.0,-999.0,-999.0,2020-01-01,Sonora,Sonora
1930,26,Sonora,26029,Guaymas,Población por sexo: mujeres,84770,31.999208,13.390976,18.116485,31.069003,13.533142,15.020449,25.620258,42.98957,2020-01-01,Sonora,Sonora
1931,26,Sonora,26030,Hermosillo,Población por sexo: mujeres,497637,21.877464,8.807244,17.973847,30.632831,5.380896,1.964317,16.54855,31.503944,2020-01-01,Sonora,Sonora
1932,26,Sonora,26031,Huachinera,Población por sexo: mujeres,620,44.480769,17.482517,10.13986,75.699301,-999.0,-999.0,14.51049,49.138112,2020-01-01,Sonora,Sonora
1933,26,Sonora,26032,Huásabas,Población por sexo: mujeres,447,19.719424,14.868106,11.031175,52.038369,-999.0,-999.0,-999.0,25.935252,2020-01-01,Sonora,Sonora
1934,26,Sonora,26033,Huatabampo,Población por sexo: mujeres,37362,50.141959,12.562793,10.547258,49.976562,15.094977,19.763881,35.653346,60.971056,2020-01-01,Sonora,Sonora
1935,26,Sonora,26034,Huépac,Población por sexo: mujeres,483,-999.0,11.818182,-999.0,35.227273,-999.0,-888.0,-999.0,-999.0,2020-01-01,Sonora,Sonora
1936,26,Sonora,26035,Imuris,Población por sexo: mujeres,6102,37.462244,14.714725,25.34271,57.092267,9.863026,-999.0,20.060701,44.556978,2020-01-01,Sonora,Sonora
1937,26,Sonora,26036,Magdalena,Población por sexo: mujeres,16884,28.4591,10.75784,19.01914,40.761516,7.149351,-999.0,18.399489,37.740059,2020-01-01,Sonora,Sonora
1938,26,Sonora,26037,Mazatán,Población por sexo: mujeres,542,32.486922,17.706237,34.607646,62.77666,-999.0,-999.0,-999.0,37.49497,2020-01-01,Sonora,Sonora
1939,26,Sonora,26038,Moctezuma,Población por sexo: mujeres,2814,21.785185,10.916179,-999.0,47.368421,-999.0,-999.0,4.444444,30.326316,2020-01-01,Sonora,Sonora
1940,26,Sonora,26039,Naco,Población por sexo: mujeres,3104,49.079273,12.872727,34.327273,62.145455,6.036364,-999.0,20.472727,60.265091,2020-01-01,Sonora,Sonora
1941,26,Sonora,26040,Nácori Chico,Población por sexo: mujeres,772,55.568214,27.566807,-999.0,71.026723,6.891702,-999.0,-999.0,60.293952,2020-01-01,Sonora,Sonora
1942,26,Sonora,26041,Nacozari de García,Población por sexo: mujeres,7101,18.322874,9.974933,6.662835,19.580184,10.540698,-999.0,14.228885,-999.0,2020-01-01,Sonora,Sonora
1943,26,Sonora,26042,Navojoa,Población por sexo: mujeres,97957,38.624718,11.624638,10.738819,27.116399,10.420215,31.070826,38.301653,49.104685,2020-01-01,Sonora,Sonora
1944,26,Sonora,26043,Nogales,Población por sexo: mujeres,139532,29.470997,9.42154,14.123454,29.071172,8.16067,13.562225,13.780222,42.664234,2020-01-01,Sonora,Sonora
1945,26,Sonora,26044,Ónavas,Población por sexo: mujeres,194,-999.0,27.325581,41.860465,71.511628,7.55814,-999.0,9.302326,-999.0,2020-01-01,Sonora,Sonora
1946,26,Sonora,26045,Opodepe,Población por sexo: mujeres,1189,37.273655,18.089054,22.170686,54.45269,10.853432,8.627087,16.233766,-999.0,2020-01-01,Sonora,Sonora
1947,26,Sonora,26046,Oquitoa,Población por sexo: mujeres,282,24.067925,11.320755,38.490566,66.037736,4.90566,-999.0,9.433962,26.724528,2020-01-01,Sonora,Sonora
1948,26,Sonora,26047,Pitiquito,Población por sexo: mujeres,4759,29.875545,16.004592,-999.0,49.299656,11.756602,-999.0,-999.0,36.974742,2020-01-01,Sonora,Sonora
1949,26,Sonora,26048,Puerto Peñasco,Población por sexo: mujeres,33719,36.289742,14.485924,24.747169,48.63626,9.422523,3.081692,25.526496,44.345101,2020-01-01,Sonora,Sonora
1950,26,Sonora,26049,Quiriego,Población por sexo: mujeres,1552,57.187919,28.337062,9.992543,59.806115,25.1305,51.826995,27.59135,61.871738,2020-01-01,Sonora,Sonora
1951,26,Sonora,26050,Rayón,Población por sexo: mujeres,728,39.33985,22.255639,8.270677,65.714286,7.518797,-999.0,11.729323,44.091729,2020-01-01,Sonora,Sonora
1952,26,Sonora,26051,Rosario,Población por sexo: mujeres,2489,38.817505,32.472648,16.849015,48.971554,14.52954,23.238512,15.667396,45.2407,2020-01-01,Sonora,Sonora
1953,26,Sonora,26052,Sahuaripa,Población por sexo: mujeres,2694,39.141389,20.427456,-999.0,65.803535,9.864365,-999.0,13.5224,44.063707,2020-01-01,Sonora,Sonora
1954,26,Sonora,26053,San Felipe de Jesús,Población por sexo: mujeres,179,-999.0,9.52381,4.166667,47.619048,1.785714,0.595238,8.928571,-999.0,2020-01-01,Sonora,Sonora
1955,26,Sonora,26054,San Javier,Población por sexo: mujeres,257,-999.0,13.75,20.833333,60.833333,23.75,3.333333,7.916667,-999.0,2020-01-01,Sonora,Sonora
1956,26,Sonora,26055,San Luis Río Colorado,Población por sexo: mujeres,99029,40.889495,15.428123,26.468206,52.672958,11.191941,4.333073,17.791439,50.509904,2020-01-01,Sonora,Sonora
1957,26,Sonora,26056,San Miguel de Horcasitas,Población por sexo: mujeres,5990,62.953225,40.499776,55.64174,84.66557,39.273414,34.928148,31.165315,65.029705,2020-01-01,Sonora,Sonora
1958,26,Sonora,26057,San Pedro de la Cueva,Población por sexo: mujeres,721,35.173502,21.451104,30.914826,61.987382,13.40694,-999.0,-999.0,40.403785,2020-01-01,Sonora,Sonora
1959,26,Sonora,26058,Santa Ana,Población por sexo: mujeres,8356,26.952216,11.837796,15.607614,42.976911,5.70143,-999.0,20.609131,36.642549,2020-01-01,Sonora,Sonora
1960,26,Sonora,26059,Santa Cruz,Población por sexo: mujeres,984,36.189286,14.285714,10.595238,50.119048,-999.0,-999.0,-999.0,52.253571,2020-01-01,Sonora,Sonora
1961,26,Sonora,26060,Sáric,Población por sexo: mujeres,1063,49.002103,21.766562,24.079916,81.913775,5.993691,-999.0,19.348055,51.238696,2020-01-01,Sonora,Sonora
1962,26,Sonora,26061,Soyopa,Población por sexo: mujeres,638,-999.0,22.959184,38.435374,60.714286,10.204082,-999.0,10.204082,-999.0,2020-01-01,Sonora,Sonora
1963,26,Sonora,26062,Suaqui Grande,Población por sexo: mujeres,545,26.680473,25.443787,29.783037,62.524655,-999.0,-999.0,-999.0,30.753452,2020-01-01,Sonora,Sonora
1964,26,Sonora,26063,Tepache,Población por sexo: mujeres,592,32.05425,17.540687,10.669078,58.047016,-999.0,-999.0,15.913201,38.835443,2020-01-01,Sonora,Sonora
1965,26,Sonora,26064,Trincheras,Población por sexo: mujeres,684,32.033386,19.077901,32.432432,67.249603,-999.0,-999.0,-999.0,35.384738,2020-01-01,Sonora,Sonora
1966,26,Sonora,26065,Tubutama,Población por sexo: mujeres,740,36.785294,21.323529,18.235294,80.0,-999.0,-999.0,18.382353,38.292647,2020-01-01,Sonora,Sonora
1967,26,Sonora,26066,Ures,Población por sexo: mujeres,4362,21.604552,15.782891,5.777889,53.376688,-999.0,-999.0,15.082541,26.585043,2020-01-01,Sonora,Sonora
1968,26,Sonora,26067,Villa Hidalgo,Población por sexo: mujeres,725,23.58631,19.345238,15.922619,39.136905,-999.0,-999.0,9.375,33.043155,2020-01-01,Sonora,Sonora
1969,26,Sonora,26068,Villa Pesqueira,Población por sexo: mujeres,480,24.479638,17.19457,30.090498,57.013575,-999.0,-999.0,-999.0,27.585973,2020-01-01,Sonora,Sonora
1970,26,Sonora,26069,Yécora,Población por sexo: mujeres,2543,75.611421,30.313439,18.419923,79.562044,19.708029,-999.0,33.0614,79.643624,2020-01-01,Sonora,Sonora
1971,26,Sonora,26070,General Plutarco Elías Calles,Población por sexo: mujeres,7101,46.634386,16.525953,29.767081,67.220888,9.352256,5.224738,22.822923,51.041776,2020-01-01,Sonora,Sonora
1972,26,Sonora,26071,Benito Juárez,Población por sexo: mujeres,11242,48.767342,14.39025,19.174789,51.809737,13.705468,21.21461,36.112303,57.290359,2020-01-01,Sonora,Sonora
1973,26,Sonora,26072,San Ignacio Río Muerto,Población por sexo: mujeres,7993,57.701864,16.729441,18.734133,52.172108,23.974315,49.976025,37.841444,63.438803,2020-01-01,Sonora,Sonora
4359,26,Sonora,26001,Aconchi,Población por sexo: mujeres,1369,20.337229,16.277129,7.512521,59.682805,11.268781,-999.0,-999.0,23.466611,2015-01-01,Sonora,Sonora
4360,26,Sonora,26002,Agua Prieta,Población por sexo: mujeres,43161,33.663357,12.400883,18.546363,37.6396,8.105328,2.63852,21.606271,44.084695,2015-01-01,Sonora,Sonora
4361,26,Sonora,26003,Álamos,Población por sexo: mujeres,11729,51.152026,24.377654,5.208779,70.801773,19.05796,48.33417,25.691265,53.353498,2015-01-01,Sonora,Sonora
4362,26,Sonora,26004,Altar,Población por sexo: mujeres,5076,48.021843,18.976109,14.379977,71.808874,11.49033,6.348123,16.473265,53.102162,2015-01-01,Sonora,Sonora
4363,26,Sonora,26005,Arivechi,Población por sexo: mujeres,603,26.644105,24.017467,10.69869,61.790393,-999.0,24.017467,20.960699,28.358079,2015-01-01,Sonora,Sonora
4364,26,Sonora,26006,Arizpe,Población por sexo: mujeres,1378,26.430098,18.878005,16.117542,71.326803,5.07569,-999.0,-999.0,28.73642,2015-01-01,Sonora,Sonora
4365,26,Sonora,26007,Atil,Población por sexo: mujeres,306,-999.0,15.969582,-999.0,58.174905,-999.0,-999.0,-999.0,-999.0,2015-01-01,Sonora,Sonora
4366,26,Sonora,26008,Bacadéhuachi,Población por sexo: mujeres,531,33.506579,25.0,5.921053,70.065789,-999.0,-999.0,-999.0,35.865132,2015-01-01,Sonora,Sonora
4367,26,Sonora,26009,Bacanora,Población por sexo: mujeres,388,-999.0,27.113703,-999.0,60.932945,-999.0,-999.0,-999.0,-999.0,2015-01-01,Sonora,Sonora
4368,26,Sonora,26010,Bacerac,Población por sexo: mujeres,677,43.665625,22.8125,-999.0,76.875,-999.0,32.5,-999.0,46.271875,2015-01-01,Sonora,Sonora
4369,26,Sonora,26011,Bacoachi,Población por sexo: mujeres,800,34.169463,13.590604,6.208054,69.966443,-999.0,-999.0,-999.0,39.728188,2015-01-01,Sonora,Sonora
4370,26,Sonora,26012,Bácum,Población por sexo: mujeres,11079,46.309688,16.841981,9.83056,47.536739,17.000657,21.219,31.497898,59.246821,2015-01-01,Sonora,Sonora
4371,26,Sonora,26013,Banámichi,Población por sexo: mujeres,840,22.812914,12.086093,6.291391,58.443709,-999.0,-999.0,-999.0,-999.0,2015-01-01,Sonora,Sonora
4372,26,Sonora,26014,Baviácora,Población por sexo: mujeres,1657,15.942725,17.511521,7.899934,62.277814,6.649111,3.686636,5.529954,-999.0,2015-01-01,Sonora,Sonora
4373,26,Sonora,26015,Bavispe,Población por sexo: mujeres,705,46.486762,22.606925,-999.0,83.095723,-999.0,-999.0,-999.0,48.763747,2015-01-01,Sonora,Sonora
4374,26,Sonora,26016,Benjamín Hill,Población por sexo: mujeres,2836,33.31164,17.229871,4.046725,40.926158,-999.0,4.755945,16.353776,44.148102,2015-01-01,Sonora,Sonora
4375,26,Sonora,26017,Caborca,Población por sexo: mujeres,44845,32.654525,17.804139,14.589083,45.532424,10.223719,7.828348,27.165886,40.781315,2015-01-01,Sonora,Sonora
4376,26,Sonora,26018,Cajeme,Población por sexo: mujeres,227988,28.788702,10.020593,9.818705,27.392172,5.779555,3.279325,21.551679,43.004185,2015-01-01,Sonora,Sonora
4377,26,Sonora,26019,Cananea,Población por sexo: mujeres,18382,26.395164,8.517437,5.945546,38.784663,5.386505,4.646082,12.370026,37.436342,2015-01-01,Sonora,Sonora
4378,26,Sonora,26020,Carbó,Población por sexo: mujeres,2480,43.742397,20.527728,11.314848,66.592129,11.851521,8.452594,19.275492,49.777281,2015-01-01,Sonora,Sonora
4379,26,Sonora,26021,La Colorada,Población por sexo: mujeres,966,-999.0,25.717566,14.925373,49.827784,9.299656,19.173364,11.481056,-999.0,2015-01-01,Sonora,Sonora
4380,26,Sonora,26022,Cucurpe,Población por sexo: mujeres,451,21.048101,25.822785,8.860759,62.531646,-999.0,-999.0,-999.0,24.043038,2015-01-01,Sonora,Sonora
4381,26,Sonora,26023,Cumpas,Población por sexo: mujeres,3189,22.995923,10.934025,1.779096,42.809489,-999.0,3.817643,8.969607,33.640474,2015-01-01,Sonora,Sonora
4382,26,Sonora,26024,Divisaderos,Población por sexo: mujeres,364,-999.0,20.735786,4.347826,64.882943,-999.0,-999.0,18.060201,-999.0,2015-01-01,Sonora,Sonora
4383,26,Sonora,26025,Empalme,Población por sexo: mujeres,29545,28.38106,13.074097,8.859283,30.21597,10.075955,6.236532,27.271411,38.589286,2015-01-01,Sonora,Sonora
4384,26,Sonora,26026,Etchojoa,Población por sexo: mujeres,29484,50.337284,13.508791,8.486784,55.975561,26.56403,53.061569,35.851543,57.341486,2015-01-01,Sonora,Sonora
4385,26,Sonora,26027,Fronteras,Población por sexo: mujeres,4480,25.195893,11.585045,7.082675,28.38336,5.9505,4.47604,9.978936,41.844655,2015-01-01,Sonora,Sonora
4386,26,Sonora,26028,Granados,Población por sexo: mujeres,550,-999.0,12.854031,5.446623,59.259259,-999.0,-999.0,-999.0,-999.0,2015-01-01,Sonora,Sonora
4387,26,Sonora,26029,Guaymas,Población por sexo: mujeres,85099,30.87963,12.09261,9.46636,29.495879,12.159181,14.529139,32.999454,39.524699,2015-01-01,Sonora,Sonora
4388,26,Sonora,26030,Hermosillo,Población por sexo: mujeres,468035,19.476527,9.848736,9.279154,29.080701,5.506769,4.176847,21.028661,26.027234,2015-01-01,Sonora,Sonora
4389,26,Sonora,26031,Huachinera,Población por sexo: mujeres,611,31.79702,21.60149,8.193669,77.281192,-999.0,29.422719,17.318436,32.977654,2015-01-01,Sonora,Sonora
4390,26,Sonora,26032,Huásabas,Población por sexo: mujeres,425,-999.0,17.563739,9.065156,54.674221,-999.0,-999.0,-999.0,-999.0,2015-01-01,Sonora,Sonora
4391,26,Sonora,26033,Huatabampo,Población por sexo: mujeres,41315,45.873776,14.10381,5.525051,54.352911,15.759572,32.801666,32.76076,52.68609,2015-01-01,Sonora,Sonora
4392,26,Sonora,26034,Huépac,Población por sexo: mujeres,478,-999.0,14.521452,-999.0,40.264026,-999.0,-999.0,-999.0,-999.0,2015-01-01,Sonora,Sonora
4393,26,Sonora,26035,Imuris,Población por sexo: mujeres,6535,28.956737,16.901187,19.325788,64.223915,9.214114,5.31437,15.542551,31.871897,2015-01-01,Sonora,Sonora
4394,26,Sonora,26036,Magdalena,Población por sexo: mujeres,16141,28.499932,13.078666,11.205894,41.295252,7.163531,1.704854,17.825853,37.3651,2015-01-01,Sonora,Sonora
4395,26,Sonora,26037,Mazatán,Población por sexo: mujeres,589,20.465028,17.202268,10.20794,60.680529,-999.0,-999.0,-999.0,24.89603,2015-01-01,Sonora,Sonora
4396,26,Sonora,26038,Moctezuma,Población por sexo: mujeres,2609,23.118568,11.096197,1.655481,44.876957,-999.0,-999.0,10.246085,30.098881,2015-01-01,Sonora,Sonora
4397,26,Sonora,26039,Naco,Población por sexo: mujeres,3200,30.680401,12.934432,16.087424,60.12182,8.49158,-999.0,13.937657,36.372626,2015-01-01,Sonora,Sonora
4398,26,Sonora,26040,Nácori Chico,Población por sexo: mujeres,1005,61.871261,32.639792,9.752926,76.592978,9.882965,20.416125,13.784135,65.620286,2015-01-01,Sonora,Sonora
4399,26,Sonora,26041,Nacozari de García,Población por sexo: mujeres,7050,16.228943,9.726446,3.973172,20.520199,14.046715,-999.0,16.152556,22.954538,2015-01-01,Sonora,Sonora
4400,26,Sonora,26042,Navojoa,Población por sexo: mujeres,85584,36.127359,12.410429,8.363364,30.249875,11.953791,23.83276,25.25698,47.963333,2015-01-01,Sonora,Sonora
4401,26,Sonora,26043,Nogales,Población por sexo: mujeres,126191,24.574263,9.362367,13.166242,30.59005,7.45502,10.096027,23.027165,32.009645,2015-01-01,Sonora,Sonora
4402,26,Sonora,26044,Ónavas,Población por sexo: mujeres,222,-999.0,28.358209,-999.0,63.18408,-999.0,-999.0,-999.0,-999.0,2015-01-01,Sonora,Sonora
4403,26,Sonora,26045,Opodepe,Población por sexo: mujeres,1299,31.846678,21.550256,10.051107,64.735945,12.776831,17.802385,17.120954,34.157581,2015-01-01,Sonora,Sonora
4404,26,Sonora,26046,Oquitoa,Población por sexo: mujeres,214,-999.0,30.434783,-999.0,67.080745,-999.0,-999.0,-999.0,-999.0,2015-01-01,Sonora,Sonora
4405,26,Sonora,26047,Pitiquito,Población por sexo: mujeres,4819,27.71432,16.816089,6.590744,40.998304,15.628786,4.943058,11.630724,35.569421,2015-01-01,Sonora,Sonora
4406,26,Sonora,26048,Puerto Peñasco,Población por sexo: mujeres,31947,39.829311,13.757127,13.353112,47.061404,9.762216,2.849199,28.032165,49.51049,2015-01-01,Sonora,Sonora
4407,26,Sonora,26049,Quiriego,Población por sexo: mujeres,1388,63.886565,30.571199,10.217216,75.221239,25.744167,44.408689,9.895414,67.240547,2015-01-01,Sonora,Sonora
4408,26,Sonora,26050,Rayón,Población por sexo: mujeres,717,31.202247,24.558587,3.852327,68.378812,-999.0,-999.0,16.532905,33.086677,2015-01-01,Sonora,Sonora
4409,26,Sonora,26051,Rosario,Población por sexo: mujeres,2490,50.122411,25.800377,7.344633,53.625235,15.160075,32.156309,12.806026,60.310264,2015-01-01,Sonora,Sonora
4410,26,Sonora,26052,Sahuaripa,Población por sexo: mujeres,2800,40.038121,20.700355,10.505319,62.367021,9.618794,9.131206,13.342199,46.090426,2015-01-01,Sonora,Sonora
4411,26,Sonora,26053,San Felipe de Jesús,Población por sexo: mujeres,196,-999.0,-999.0,-999.0,46.296296,-999.0,-888.0,-999.0,-999.0,2015-01-01,Sonora,Sonora
4412,26,Sonora,26054,San Javier,Población por sexo: mujeres,264,-999.0,20.33195,11.618257,58.506224,25.726141,-999.0,-999.0,-999.0,2015-01-01,Sonora,Sonora
4413,26,Sonora,26055,San Luis Río Colorado,Población por sexo: mujeres,100623,40.287575,15.367073,22.316507,50.02556,9.955512,7.208271,26.218299,48.67213,2015-01-01,Sonora,Sonora
4414,26,Sonora,26056,San Miguel de Horcasitas,Población por sexo: mujeres,4630,50.21082,39.141478,18.491237,86.664973,39.674879,42.214884,29.286259,51.598933,2015-01-01,Sonora,Sonora
4415,26,Sonora,26057,San Pedro de la Cueva,Población por sexo: mujeres,702,-999.0,23.85466,7.266983,58.293839,-999.0,28.278041,5.845182,-999.0,2015-01-01,Sonora,Sonora
4416,26,Sonora,26058,Santa Ana,Población por sexo: mujeres,8610,26.770721,12.496223,5.050388,48.414141,5.51515,4.124565,17.046171,33.302464,2015-01-01,Sonora,Sonora
4417,26,Sonora,26059,Santa Cruz,Población por sexo: mujeres,939,35.333741,13.93643,11.858191,73.471883,-999.0,-999.0,7.090465,38.947433,2015-01-01,Sonora,Sonora
4418,26,Sonora,26060,Sáric,Población por sexo: mujeres,765,-999.0,25.826772,24.88189,82.992126,11.181102,8.661417,23.307087,-999.0,2015-01-01,Sonora,Sonora
4419,26,Sonora,26061,Soyopa,Población por sexo: mujeres,679,24.839798,25.463744,18.381113,61.720067,12.984823,-999.0,-999.0,26.617201,2015-01-01,Sonora,Sonora
4420,26,Sonora,26062,Suaqui Grande,Población por sexo: mujeres,542,-999.0,23.517382,14.110429,67.689162,-999.0,-999.0,13.496933,-999.0,2015-01-01,Sonora,Sonora
4421,26,Sonora,26063,Tepache,Población por sexo: mujeres,619,-999.0,18.909091,7.818182,66.0,-999.0,6.363636,10.909091,-999.0,2015-01-01,Sonora,Sonora
4422,26,Sonora,26064,Trincheras,Población por sexo: mujeres,737,-999.0,22.44582,9.287926,75.541796,-999.0,11.609907,16.408669,-999.0,2015-01-01,Sonora,Sonora
4423,26,Sonora,26065,Tubutama,Población por sexo: mujeres,601,-999.0,20.766129,6.25,74.798387,-999.0,-999.0,15.120968,-999.0,2015-01-01,Sonora,Sonora
4424,26,Sonora,26066,Ures,Población por sexo: mujeres,4388,19.196989,17.492863,3.34804,55.333506,4.490008,3.399948,11.341812,22.74695,2015-01-01,Sonora,Sonora
4425,26,Sonora,26067,Villa Hidalgo,Población por sexo: mujeres,732,-999.0,16.159696,9.315589,47.908745,-999.0,-999.0,-999.0,-999.0,2015-01-01,Sonora,Sonora
4426,26,Sonora,26068,Villa Pesqueira,Población por sexo: mujeres,564,38.614191,19.733925,13.968958,57.649667,-999.0,5.543237,-999.0,45.503326,2015-01-01,Sonora,Sonora
4427,26,Sonora,26069,Yécora,Población por sexo: mujeres,3103,72.506029,27.733119,15.032154,79.581994,16.4791,45.016077,14.228296,76.282556,2015-01-01,Sonora,Sonora
4428,26,Sonora,26070,General Plutarco Elías Calles,Población por sexo: mujeres,-888,-888.0,-888.0,-888.0,-888.0,-888.0,-888.0,-888.0,-888.0,2015-01-01,Sonora,Sonora
4429,26,Sonora,26071,Benito Juárez,Población por sexo: mujeres,11052,43.581933,15.346477,7.29805,55.740039,16.071626,14.632294,32.016732,52.681609,2015-01-01,Sonora,Sonora
